wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000084660,Compositae,Conyza sumatrensis (Retz.) E.Walker,Conyza sumatrensis, (Retz.) E.Walker,"J. Jap. Bot. 46(3): 72, 1971.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Bosques ribereños, Palmares, Pastizales xerófilos, Pastizales mesófilos, Pastizales higrófilos, Herbazales psamófilos",Terófita,https://florauruguaya.org/taxonomias/conyza-sumatrensis
wfo-0000046514,Compositae,Coreopsis lanceolata L.,Coreopsis lanceolata, L.,"Sp. Pl. [Linnaeus] 2: 908, 1753.",Hierba perenne,"Ambientes ruderales, Ambientes urbanos",,https://florauruguaya.org/taxonomias/coreopsis-lanecolata
wfo-0000031494,Compositae,Cotula australis (Sieber ex Spreng.) Hook.f.,Cotula australis, (Sieber ex Spreng.) Hook.f.,"Bot. Antarct. Voy. II. [Fl. Nov.-Zel.] 1: 128, 1852.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Algarrobales, Palmares, Pastizales mesófilos, Herbazales psamófilos",Terófita,https://florauruguaya.org/taxonomias/cotula-australis
wfo-0000132807,Compositae,Cotula coronopifolia L.,Cotula coronopifolia, L.,"Sp. Pl. [Linnaeus] 2: 892, 1753.",Hierba perenne,"Herbazales psamófilos, Herbazales halófilos, Herbazales hidrófilos",,https://florauruguaya.org/taxonomias/cotula-coronopifolia
wfo-0000014483,Compositae,Cotula nigellifolia (DC.) K.Bremer & Humphries,Cotula nigellifolia, (DC.) K.Bremer & Humphries,"Bull. Nat. Hist. Mus. London, Bot. 23(2): 158, 1993.",Hierba perenne,Herbazales hidrófilos,,https://florauruguaya.org/taxonomias/cotula-nigellifolia
wfo-0000030643,Compositae,Crepis capillaris (L.) Wallr.,Crepis capillaris, (L.) Wallr.,"Erst. Beitr. Fl. Hercyn. 287, 1840.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/crepis-capillaris
wfo-0000085139,Compositae,Crepis setosa Haller f.,Crepis setosa, Haller f.,"Arch. Bot. [Leipzig] 1(2): 1, 1797.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/crepis-setosa
wfo-0000016050,Compositae,Criscia stricta (Spreng.) Katinas,Criscia stricta, (Spreng.) Katinas,"Bol. Soc. Argent. Bot. 30(1-2): 62, 1994.",Hierba perenne,"Palmares, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/criscia-stricta
wfo-0000013358,Compositae,Cynara cardunculus L.,Cynara cardunculus, L.,"Sp. Pl. [Linnaeus] 2: 827, 1753.",Hierba perenne,"Ambientes ruderales, Palmares, Pastizales mesófilos",,https://florauruguaya.org/taxonomias/cynara-cardunculus
wfo-0000089321,Compositae,Cyrtocymura scorpioides (Lam.) H.Rob.,Cyrtocymura scorpioides, (Lam.) H.Rob.,"Proc. Biol. Soc. Washington 100(4): 852, 1987.",Arbusto,"Bosques ribereños, Matorrales mesófilos",,https://florauruguaya.org/taxonomias/cyrtocymura-scorpioides
wfo-0000121371,Compositae,Dasyphyllum spinescens (Less.) Cabrera,Dasyphyllum spinescens, (Less.) Cabrera,"Revista Mus. La Plata, Secc. Bot. 9(38): 57, 1959.",Árbol,"Bosques serranos, Bosques de quebradas",Fanerófita,https://florauruguaya.org/taxonomias/dasyphyllum-spinescens
wfo-0000075743,Compositae,Dimerostemma arnottii (Baker) M.D.Moraes,Dimerostemma arnottii, (Baker) M.D.Moraes,"Phytologia 89(1): 117, 2007.",Hierba perenne,"Pastizales xerófilos, Herbazales psamófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/dimerostemma-arnottii
wfo-0000039240,Compositae,Dimerostemma grisebachii (Baker) M.D.Moraes,Dimerostemma grisebachii, (Baker) M.D.Moraes,"Phytologia 89(1): 118, 2007.",Hierba perenne,Pastizales xerófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/dimerostemma-grisebachii
wfo-0000073102,Compositae,Disynaphia calyculata (Hook. & Arn.) R.M.King & H.Rob.,Disynaphia calyculata, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 22: 124, 1971.",Sufrútice,"Matorrales xerófilos, Matorrales psamófilos, Pastizales xerófilos, Herbazales psamófilos",Caméfita,https://florauruguaya.org/taxonomias/disynaphia-calyculata
