LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10712,wfo-0000055607,Adenostemma lavenia (L.) Kuntze var. lavenia,Revis. Gen. Pl. 1: 304. 1891.,/ftf] 8fF7] 3fF; ,Rato danthe ghans,"W, C, E Nepal: 60-3000 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10715,wfo-0001426609,Adenostemma lavenia (L.) Kuntze var. elatum (D.Don) Hochr. ,Fl. E. Himalaya 329. 1966.,,,"W, C, E Nepal: 100-1200 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma and S Asia."
NEP10718,wfo-0000084347,Adenostemma lavenia (L.) Kuntze var. latifolium (D.Don) Panigrahi,Fl. E. Himalaya 329. 1966.,,,C Nepal: 1300-1400 m. ,"Nepal, Tibetan Plateau, S Asia and E Asia."
NEP10720,wfo-0000022875,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Phytologia 19: 211. 1970. ,"agdf/f, sfnL emf/ ","Banmara, Kali jhar","W, C, E Nepal: 300-3300 m (Invasive species in Nepal). ",Native of N America (Mexico).
NEP10723,wfo-0000014938,Ageratum conyzoides L. ,Sp. Pl. 2: 839. 1753. ,"uGw] emf/, af]s] 3fF;, uGxfpg] emf/ ","Gandhe jhar, Boke ghans, Ganhaune jhar","W, C, E Nepal: 65-2200 m (Invasive species in Nepal).",Native of Tropical America; a widespread weed.
NEP10724,wfo-0000017628,Ageratum houstonianum Mill. ,Gard. Dict. (ed. 8) no. 2. 1768. ,lgnf] uGw] ,Nilo gandhe,"W, C Nepal: 100-1600 m (Invasive species in Nepal). ",Native of Tropical America. 
NEP10725,wfo-0000121925,Ainsliaea aptera DC. ,Prodr. 7: 14. 1838. ,"lttf] a'6L, ;xb]j ;xb]lj ","Tito buti, Sahadev sahadevi","W, C, E Nepal: 1600-3500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and SW Asia. "
NEP10726,wfo-0000132513,Ainsliaea latifolia (D.Don) Sch.Bip. ,Jahresber. Pollichia 18-19: 190. 1861.,;xb]j ;xb]lj ,Sahadev sahadevi,"W, C, E Nepal: 1400-3500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10729,wfo-0000124686,Ajania khartensis (Dunn) C.Shih,Acta Phytotax. Sin. 17(2): 115. 1979.,,,"W, C Nepal: 4000-4800 m. ","Nepal, E Himalaya, Tibetan Plateau and E Asia. "
NEP10732,wfo-0000129969,Ajania nubigena (Wall. ex DC.) Muldashev ,Bot. Zhurn. 68(2): 212. 1983. ,";'g k""mn, vfD;fg\, vfDef–nf]K;fg ","Sun phool, Khamsan, Khamva-lopsan: Tibetan","W, C Nepal: 1900-4500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. "
NEP10735,wfo-0000091663,Ajania tenuifolia (Jacquem. ex DC.) Tzvelev ,Fl. SSSR 26: 411. 1961.,,,"W, C Nepal: 3400-4600 m. ","Nepal, W Himalaya, Tibetan Plateau and E Asia."
NEP10738,wfo-0000035001,Allardia glabra Decne. ,"Voy. Inde 4(Bot.): 88, pl. 96. 1844.",ug]kf]P ,Ganepoe: Tibetan,"W, C, E Nepal: 3900-5400 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, C Asia and SW Asia. "
NEP10740,wfo-0000095110,Allardia nivea Hook.f. & Thomson ex C.B.Clarke ,Compos. Ind. 145. 1876. ,,,"W, C, E Nepal: 3900-5400 m. ","Nepal, W Himalaya, Tibetan Plateau and SW Asia."
NEP10742,wfo-0000125766,Allardia tomentosa Decne. ,"Voy. Inde 4(Bot.): 87, pl. 95. 1841.",,,"W, C Nepal: 4500-4900 m. ","Nepal, W Himalaya, Tibetan Plateau, C Asia and SW Asia."
NEP10744,wfo-0000024283,Anaphalis busua (Buch.-Ham. ex D.Don) DC. ,Prodr. 6: 275. 1838.,"a'sL k""mn ",Buki phool,"W, C, E Nepal: 700-3500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. "
NEP10747,wfo-0000023171,Anaphalis cavei Chatterjee,Bull. Bot. Soc. Bengal 3(1): 17. 1951.,,,"W, C, E Nepal: 3900-5100 m. ",Nepal and E Himalaya.
NEP10748,wfo-0000082523,Anaphalis chlamydophylla Diels ,Notes Roy. Bot. Gard. Edinburgh 5: 188. 1912.,,,"W, C Nepal: 2400-4000 m. ",Nepal and E Asia (NW Yunnan). 
NEP10749,wfo-0000106879,Anaphalis contorta (D.Don) Hook.f. var. contorta,Fl. Brit. India 3: 284. 1881.,"a'sL k""mn, kfG;fg ","Buki phool, Pansan","W, C, E Nepal: 1200-4400 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma and E Asia. "
NEP10752,wfo-1200027148,Anaphalis contorta (D.Don) Hook.f. var. flavescens Kitam.,Acta Phytotax. Geobot. 23(1-2): 9. 1968. ,,,"W, C Nepal: 3500-4700 m. ",Endemic to Nepal.
NEP10753,wfo-0000064801,Anaphalis griffithii Hook.f. ,Fl. Brit. India 3: 280. 1881.,,,"W, C, E Nepal: 900-3800 m. ","Nepal, E Himalaya and Assam-Burma."
NEP10754,wfo-0000135524,Anaphalis hondae Kitam.,Acta Phytotax. Geobot. 15(3): 78. 1953.,,,C Nepal: 2800 m.,Nepal and Tibetan Plateau.
NEP10755,wfo-0000013605,Anaphalis marcescens (Wight) C.B.Clarke ,Fl. Brit. India 3: 286. 1881. ,,,C Nepal: 1100-1200 m. ,"Nepal, Assam-Burma, S Asia and SE Asia."
NEP10757,wfo-0000092746,Anaphalis margaritacea (L.) Benth. & Hook.f. ,Gen. Pl. 2: 303. 1873. ,l6Dd' :jfF ,Timmu swan: Newari,"W, C, E Nepal: 1800-3900 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, S Asia, E Asia, SE Asia, N Asia and N America."
NEP10761,wfo-0000113656,Anaphalis muliensis (Hand.-Mazz.) Hand.-Mazz.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 631. 1937.,,,C Nepal: 3900-4000 m. ,Nepal and E Asia.
